poblacion_total,porcentaje_rural,estrato_promedio,tasa_pobreza,num_instituciones,computadores_por_estudiante,salones_por_institucion,docentes_por_institucion,cobertura_electrica,cobertura_4G,dispositivos_promedio_hogar,tasa_aprobacion,tasa_desercion,puntaje_pruebas,acceso_a_internet
16295,8.661976085469403,2.5465373496306296,54.498632927740786,59,1.3379861502243222,24,78,89.94386015045166,42.642586789903774,1.955219932875365,62.50185694684679,36.055601692895486,354.1912653229994,0
1360,66.91541555348508,4.147068648520921,37.165882375055716,35,1.8436831103529243,3,41,92.0238060092877,60.02915235265359,3.0063255223530456,78.35585245756975,31.11716773616964,408.85943770438263,1
77320,41.03037218726621,2.7571371754279483,57.74629253416743,8,2.2193940173362954,28,19,93.83697016161481,47.88654325053735,1.8454202677217433,66.6164758727788,35.6110064196037,378.16186338526313,0
55386,47.07009994910616,3.2512094484418936,47.10378787186457,36,0.5385016200275909,12,79,94.73643343841044,54.41389654013009,2.2432667132455624,76.40812842186156,31.68169689988402,381.9245691387696,0
6765,4.914839034517704,1.6636286967231304,77.70328827167451,25,0.9204463199011033,28,13,92.32503898272324,36.34272107720902,1.6943603621067047,74.32094211617843,30.56595215745361,251.97746320876757,0
82886,19.106213934635818,1.4913362301777602,67.09091393917129,53,1.9458224032555773,4,59,94.1748847374773,39.745879832634714,1.3538017018847115,70.41880855113114,35.83911630227864,291.973809701098,0
37694,79.05136075336478,3.553655530807516,44.28417515219135,49,1.8064779307486816,10,13,95.61511253901728,47.040262076645604,2.6214642662337835,78.5778136354173,30.756790454161532,457.43940957912633,0
87998,45.395883304785976,4.103728953951592,39.993837827460005,57,2.2368597014116856,16,68,96.37160816503275,64.80145390876172,3.03575756336734,77.02012981841864,31.424425464070012,452.72265213643016,1
44631,30.166224163114887,4.945667502553276,36.307533059600146,8,1.9574787869321897,3,45,92.59292228714676,79.31289285701313,3.0394697354045532,76.74570288354865,27.563568633746485,494.19480134480386,1
60763,38.401907396495815,2.190627558656183,60.312221945164524,21,1.0574365371573076,27,19,85.26377475341155,57.62608684110402,1.8752252952568877,73.50556805671525,36.08228710009169,322.6902043635484,0
16523,85.43995133256801,4.4637441249908445,33.48697543897933,51,1.5477839074920585,9,40,88.74359045431626,58.34504506228714,3.087315005729915,82.31830853798425,28.603110966594304,440.0142887857717,0
41590,74.8999017404957,4.314446899976997,38.02281046534578,46,2.6657511443203386,3,40,89.503887390591,54.36222587997099,3.2468960758550227,82.53769316916767,32.1413090283329,488.89840219100347,1
67721,27.231539718108277,2.5088371409632466,62.684182523776855,9,0.639660366114082,7,69,86.60106372128186,52.278165845620954,1.983457226182691,72.01436412149816,36.80819444244766,345.33173276902875,0
65320,11.750184021237331,4.388086889456378,28.016978696500466,32,1.1925598970771414,20,32,84.26842437563327,73.67644056950954,2.9385785219333194,82.60434924866709,26.75929425469196,465.14595861094716,1
