acceso_a_internet,cobertura_electrica,computadores_por_estudiante,dispositivos_promedio_hogar,docentes_por_institucion,estrato_promedio,num_instituciones,poblacion_total,porcentaje_rural,puntaje_pruebas,salones_por_institucion,tasa_aprobacion,tasa_desercion,tasa_pobreza,comp_per_inst_ratio,docente_salon_ratio,pob_por_inst,aprob_deserc_ratio
0,89.94386015045166,1.3379861502243222,1.955219932875365,78,2.5465373496306296,59,16295,8.661976085469403,354.1912653229994,24,62.50185694684679,36.055601692895486,54.49863292774079,0.02229976917040537,3.12,271.5833333333333,1.6867046840810038
1,92.0238060092877,1.8436831103529243,3.0063255223530456,41,4.147068648520921,35,1360,66.91541555348508,408.8594377043826,3,78.35585245756975,31.11716773616964,37.16588237505572,0.05121341973202567,10.25,37.77777777777778,2.4396874936555233
0,93.8369701616148,2.219394017336296,1.8454202677217435,19,2.7571371754279483,8,77320,41.03037218726621,378.16186338526313,28,66.6164758727788,35.6110064196037,57.74629253416743,0.24659933525958844,0.6551724137931034,8591.111111111111,1.8195751056192875
0,94.73643343841044,0.5385016200275909,2.2432667132455624,79,3.2512094484418936,36,55386,47.07009994910616,381.9245691387696,12,76.40812842186156,31.68169689988402,47.10378787186457,0.01455409783858354,6.076923076923077,1496.918918918919,2.3379486278184265
0,92.32503898272324,0.9204463199011031,1.6943603621067047,13,1.6636286967231304,25,6765,4.914839034517704,251.9774632087676,28,74.32094211617843,30.56595215745361,77.70328827167451,0.03540178153465781,0.4482758620689655,260.1923076923077,2.354465398206883
0,94.1748847374773,1.945822403255577,1.3538017018847115,59,1.4913362301777602,53,82886,19.106213934635814,291.973809701098,4,70.41880855113114,35.83911630227864,67.09091393917129,0.03603374820843661,11.8,1534.9259259259259,1.9115227404837467
0,95.61511253901728,1.8064779307486816,2.6214642662337835,13,3.553655530807516,49,37694,79.05136075336478,457.43940957912633,10,78.5778136354173,30.75679045416153,44.28417515219135,0.036129558614973634,1.1818181818181819,753.88,2.4743625697577434
1,96.37160816503275,2.2368597014116856,3.03575756336734,68,4.103728953951592,57,87998,45.395883304785976,452.72265213643016,16,77.02012981841864,31.42442546407001,39.993837827460005,0.038566546576063544,4.0,1517.2068965517242,2.3753737719660073
1,92.59292228714676,1.9574787869321897,3.039469735404553,45,4.945667502553276,8,44631,30.166224163114887,494.1948013448039,3,76.74570288354865,27.563568633746485,36.30753305960015,0.21749764299246552,11.25,4959.0,2.686838744402451
0,85.26377475341155,1.0574365371573076,1.875225295256888,19,2.190627558656183,21,60763,38.401907396495815,322.6902043635484,27,73.50556805671525,36.08228710009169,60.31222194516453,0.04806529714351398,0.6785714285714286,2761.9545454545455,1.982228546430015
0,88.74359045431626,1.5477839074920583,3.087315005729915,40,4.4637441249908445,51,16523,85.43995133256801,440.0142887857717,9,82.31830853798425,28.603110966594304,33.48697543897933,0.029765075144078043,4.0,317.75,2.780731681574836
1,89.503887390591,2.6657511443203386,3.2468960758550227,40,4.314446899976997,46,41590,74.8999017404957,488.8984021910034,3,82.53769316916767,32.1413090283329,38.02281046534578,0.056718109453624224,10.0,884.8936170212766,2.4904777629213504
