acceso_a_internet,computadores_por_estudiante,dispositivos_promedio_hogar,docentes_por_institucion,estrato_promedio,num_instituciones,poblacion_total,porcentaje_rural,salones_por_institucion,tasa_pobreza,idx_tic,idx_infra_educ,idx_socio,edu_recursos_total,edu_recursos_mean
0,1.3379861502243222,1.955219932875365,78,2.5465373496306296,59,16295,8.661976085469403,24,54.49863292774079,0.26144320308368413,0.9313929313929314,0.4289664623959737,162.3379861502243,40.58449653755608
1,1.8436831103529243,3.0063255223530456,41,4.147068648520921,35,1360,66.91541555348508,3,37.16588237505572,0.738980869386923,0.35756446101273687,0.5010256292719854,80.84368311035293,20.210920777588232
0,2.219394017336296,1.8454202677217435,19,2.7571371754279483,8,77320,41.03037218726621,28,57.74629253416743,0.3537913460284632,0.4238057686333549,0.4665139862010944,57.2193940173363,14.304848504334075
0,0.5385016200275909,2.2432667132455624,79,3.2512094484418936,36,55386,47.07009994910616,12,47.10378787186457,0.1931086182248067,0.649867374005305,0.4618919260691986,127.53850162002759,31.884625405006897
0,0.9204463199011031,1.6943603621067047,13,1.6636286967231304,25,6765,4.914839034517704,28,77.70328827167451,0.1920785536240109,0.4944798910316151,0.45847972622237715,66.9204463199011,16.730111579975276
0,1.945822403255577,1.3538017018847115,59,1.4913362301777602,53,82886,19.10621393463581,4,67.09091393917129,0.28208504861461164,0.5549143307763998,0.3873741561501513,117.94582240325558,29.486455600813894
0,1.8064779307486816,2.6214642662337835,13,3.553655530807516,49,37694,79.05136075336478,10,44.28417515219135,0.3698581644203716,0.40164169474514305,0.47782207817764655,73.80647793074868,18.45161948268717
1,2.2368597014116856,3.03575756336734,68,4.103728953951592,57,87998,45.395883304785976,16,39.993837827460005,0.786595513810347,0.7722895309102206,0.5110484698738444,143.23685970141167,35.80921492535292
1,1.9574787869321897,3.039469735404553,45,4.945667502553276,8,44631,30.166224163114887,3,36.30753305960015,0.7547781214571799,0.22041006523765147,0.5765278936682798,57.95747878693219,14.489369696733048
0,1.0574365371573076,1.875225295256888,19,2.190627558656183,21,60763,38.401907396495815,27,60.31222194516453,0.22263767363343503,0.485697899491003,0.42288959506152457,68.05743653715732,17.01435913428933
0,1.5477839074920583,3.087315005729915,40,4.4637441249908445,51,16523,85.43995133256801,9,33.48697543897933,0.37825831385128206,0.521937056419815,0.5140163027623084,101.54778390749206,25.386945976873015
1,2.6657511443203386,3.2468960758550227,40,4.314446899976997,46,41590,74.8999017404957,3,38.02281046534578,0.853194221560377,0.41627834731283003,0.5221138602260996,91.66575114432034,22.916437786080085
0,0.639660366114082,1.983457226182691,69,2.5088371409632466,9,67721,27.23153971810828,7,62.684182523776855,0.18346642155075418,0.38554735106459254,0.4667523934368937,85.63966036611409,21.40991509152852
1,1.1925598970771414,2.93857852193332,32,4.388086889456378,32,65320,11.750184021237333,20,28.016978696500463,0.6585720949463416,0.5177312591105694,0.4786807979744315,85.19255989707713,21.298139974269283
1,2.5410135224023938,2.815262279157484,37,3.9442163762851976,44,1269,25.19982216440717,29,38.41839135645396,0.8035113041410069,0.7246039142590867,0.4870990713575697,112.5410135224024,28.1352533806006
0,1.15616323914909,2.7399343677501333,69,4.14218307853958,13,60235,92.07564510547336,19,25.659010884453508,0.30478948080643103,0.5623820106578727,0.44211961445249337,102.1561632391491,25.539040809787274
1,1.2954528936709182,3.862593793221549,58,5.1673603787432,23,63455,58.15888378497554,19,22.5089239930125,0.7460588030652381,0.5703037254761393,0.5286451550871775,101.29545289367093,25.32386322341773
1,1.025746246854029,3.034413573837373,10,4.100661847549999,59,65425,53.34802087447829,15,31.41060860141782,0.6472397907408762,0.5097020097020097,0.46716688906216436,85.02574624685403,21.256436561713507
0,2.708624029861966,1.318204576598502,79,1.0,8,68469,59.63935996924615,23,87.2783047048039,0.3668722186368414,0.6299734748010609,0.4407267779416405,112.70862402986197,28.17715600746549
